tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.52,300.0,50,70,36,2,parar
1.19,300.0,50,70,35,86,atras
1.82,300.0,50,70,34,100,atras
2.51,105.4,50,70,35,100,izquierda
3.26,300.0,50,70,40,88,izquierda
4.13,300.0,50,70,32,62,adelante
4.92,120.0,50,70,32,35,parar
5.54,118.2,50,70,32,20,parar
6.23,111.5,50,70,32,96,derecha
7.01,300.0,50,70,41,80,adelante
7.7,300.0,50,70,42,26,adelante
8.3,300.0,50,70,44,100,adelante
8.9,300.0,50,70,47,72,adelante
9.56,300.0,50,70,47,83,adelante
10.22,300.0,50,70,47,94,adelante
10.88,300.0,50,70,48,91,adelante
11.57,300.0,50,70,48,80,izquierda
12.32,300.0,50,70,41,68,izquierda
13.07,300.0,50,70,44,80,adelante
13.92,300.0,50,70,42,2,parar
14.54,300.0,50,70,42,5,parar
15.2,300.0,50,70,42,9,parar
15.83,300.0,50,70,39,48,derecha
16.61,195.8,50,70,38,7,parar
17.36,300.0,50,70,38,21,parar
18.12,300.0,50,70,37,89,izquierda
18.83,300.0,50,70,40,12,parar
19.52,300.0,50,70,41,11,parar
20.18,300.0,50,70,41,17,parar
20.84,300.0,50,70,40,6,parar
21.44,300.0,50,70,40,3,parar
22.08,300.0,50,70,41,91,adelante
22.82,300.0,50,70,38,89,adelante
23.48,300.0,50,70,38,94,adelante
24.14,300.0,50,70,37,95,adelante
24.86,300.0,50,70,39,70,adelante
25.58,300.0,50,70,42,43,adelante
26.21,300.0,50,70,43,12,parar
27.08,300.0,50,70,43,6,parar
27.72,300.0,50,70,42,88,derecha
28.44,179.2,50,70,35,10,parar
29.16,300.0,50,70,37,93,izquierda
29.94,117.5,50,70,39,100,adelante
30.62,300.0,50,70,39,72,adelante
31.31,300.0,50,70,38,22,parar
32.12,300.0,50,70,38,16,parar
